_id,action,common,expectation
5e1ed84062855070c67e6f86,want,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f87,display,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f88,image,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f89,grey,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f8a,scale,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f8b,black,true,I want to display the images in grey scale or in black and white 
5e1ed84162855070c67e6f8c,white,true,I want to display the images in grey scale or in black and white 
5e1ed8f4b32b9b9501251f63,want,false,I can display and store data from your system 
5e1ed8f4b32b9b9501251f64,receive,false,I can display and store data from your system 
5e1ed8f4b32b9b9501251f65,data,false,I can display and store data from your system 
5e1ed8f4b32b9b9501251f66,hl,false,I can display and store data from your system 
5e1ed8f4b32b9b9501251f67,format,false,I can display and store data from your system 
5e1eda114eeaeca313575631,want,false,I can be confident enough with the system 
5e1eda114eeaeca313575632,false,false,I can be confident enough with the system 
5e1eda114eeaeca313575633,positive,false,I can be confident enough with the system 
5e1eda114eeaeca313575634,rate,false,I can be confident enough with the system 
5e1eda114eeaeca313575635,maximum,false,I can be confident enough with the system 
5e1eda6a1b0f5bd66d74955a,want,true,I want a consolidated view of the patients current medications 
5e1eda6a1b0f5bd66d74955b,consolidated,true,I want a consolidated view of the patients current medications 
5e1eda6a1b0f5bd66d74955c,view,true,I want a consolidated view of the patients current medications 
5e1eda6a1b0f5bd66d74955d,patient,true,I want a consolidated view of the patients current medications 
5e1eda6a1b0f5bd66d74955e,current,true,I want a consolidated view of the patients current medications 
5e1eda6a1b0f5bd66d74955f,medication,true,I want a consolidated view of the patients current medications 
5e1edef9169b4dc25f505d39,want,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edef9169b4dc25f505d3a,update,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edef9169b4dc25f505d3b,software,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edef9169b4dc25f505d3c,software,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edef9169b4dc25f505d3d,vendor,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edef9169b4dc25f505d3e,server,false,I can have an up-to-date version without requiring the intervention of the software vendor technical support 
5e1edf5194b20822020d002d,want,false,I want to review my patients end of life care 
5e1edf5194b20822020d002e,review,false,I want to review my patients end of life care 
5e1edf5194b20822020d002f,patient,false,I want to review my patients end of life care 
5e1edf5194b20822020d0030,end,false,I want to review my patients end of life care 
5e1edf5194b20822020d0031,life,false,I want to review my patients end of life care 
5e1edf5194b20822020d0032,care,false,I want to review my patients end of life care 
5e1edfa0e0b224becc28a96e,want,false,I want to view a trend of results over time 
5e1edfa0e0b224becc28a96f,view,false,I want to view a trend of results over time 
5e1edfa0e0b224becc28a970,trend,false,I want to view a trend of results over time 
5e1edfa0e0b224becc28a971,result,false,I want to view a trend of results over time 
5e1edfa0e0b224becc28a972,time,false,I want to view a trend of results over time 
5e1edfcedf6b6c16f7fed202,want,false,I want to see all patients currently admitted to the emergency department 
5e1edfcedf6b6c16f7fed203,patient,false,I want to see all patients currently admitted to the emergency department 
5e1edfcedf6b6c16f7fed204,currently,false,I want to see all patients currently admitted to the emergency department 
5e1edfcedf6b6c16f7fed205,admitted,false,I want to see all patients currently admitted to the emergency department 
5e1edfcedf6b6c16f7fed206,emergency,false,I want to see all patients currently admitted to the emergency department 
5e1edfcedf6b6c16f7fed207,department,false,I want to see all patients currently admitted to the emergency department 
