"_id",action,common,expectation
5e33dd252688e44efe3fb35f,want,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb360,able,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb361,register,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb362,profile,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb363,nt,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb364,want,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb365,data,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd252688e44efe3fb366,time,true,"I want to be able to register my own profile because I do n't want to fill out the data every time "
5e33dd4a4505ff068e5970f1,want,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f2,able,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f3,adjust,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f4,access,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f5,level,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f6,profile,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f7,people,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f8,nt,true,"because I want to protect my privacy "
5e33dd4a4505ff068e5970f9,know,true,"because I want to protect my privacy "
5e33dd6fb4b848ad0c0e1b4d,want,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b4e,able,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b4f,edit,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b50,budget,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b51,campaign,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b52,want,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b53,react,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b54,change,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd6fb4b848ad0c0e1b55,quickly,false,"I want to be able to edit the budget during the campaign because I want to react to changes quickly "
5e33dd8e28da79cbcd904242,grade,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904243,online,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904244,nt,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904245,wait,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904246,day,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904247,know,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33dd8e28da79cbcd904248,passed,true,"nd my grades online so that I do n't have to wait until the next day to know whether I passed "
5e33ddb3b3bed0d5f2f1eed1,read,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed2,review,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed3,selected,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed4,book,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed5,help,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed6,decide,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddb3b3bed0d5f2f1eed7,buy,true,"I can read reviews of a selected book to help me decide whether to buy it "
5e33ddd5eea539c8ff6ac045,want,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac046,spell,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac047,checker,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac048,ignore,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac049,word,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac04a,number,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac04b,truly,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac04c,misspelled,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac04d,word,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33ddd5eea539c8ff6ac04e,indicated,false,"he spell checker to ignore words with numbers so that only truly misspelled words are indicated "
5e33de0bcb5f26ddbbde0653,meal,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0654,schedule,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0655,brochure,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0656,know,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0657,doggy,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0658,day,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde0659,care,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde065a,center,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde065b,appropriate,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde065c,hungry,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de0bcb5f26ddbbde065d,dog,true,"I can find a meal schedule on the brochure so I know whether this doggy day care center is appropriate for my hungry dog "
5e33de3f060176b53152a7ac,want,false,"I want a list of highly-rated restaurants on the brochure "
5e33de3f060176b53152a7ad,list,false,"I want a list of highly-rated restaurants on the brochure "
5e33de3f060176b53152a7ae,highlyrated,false,"I want a list of highly-rated restaurants on the brochure "
5e33de3f060176b53152a7af,restaurant,false,"I want a list of highly-rated restaurants on the brochure "
5e33de3f060176b53152a7b0,brochure,false,"I want a list of highly-rated restaurants on the brochure "
5e33def2b076f0f31131ce6f,want,true,"arnings about restaurants that serve raw ingredients so that tourists do n't get sick on our dime "
5e33def2b076f0f31131ce70,warning,true,"arnings about restaurants that serve raw ingredients so that tourists do n't get sick on our dime "
5e33def2b076f0f31131ce71,restaurant,true,"arnings about restaurants that serve raw ingredients so that tourists do n't get sick on our dime "
