"_id",action,common,expectation
5e217fe22d2b69a241da448e,able,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da448f,click,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4490,particular,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4491,location,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4492,map,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4493,perform,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4494,search,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4495,landmark,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4496,associated,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4497,latitude,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4498,longitude,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e217fe32d2b69a241da4499,combination,false,"I am able to click a particular location from the map and thereby perform a search of landmarks associated with that latitude longitude combination "
5e218272b113a7a415d6b26a,want,true,"I want to see the registered hours of this week "
5e218272b113a7a415d6b26b,registered,true,"I want to see the registered hours of this week "
5e218272b113a7a415d6b26c,hour,true,"I want to see the registered hours of this week "
5e218272b113a7a415d6b26d,week,true,"I want to see the registered hours of this week "
5e2182ff9c8a1495759d8674,want,false,"I can see the location of landmarks "
5e2182ff9c8a1495759d8675,open,false,"I can see the location of landmarks "
5e2182ff9c8a1495759d8676,interactive,false,"I can see the location of landmarks "
5e2182ff9c8a1495759d8677,map,false,"I can see the location of landmarks "
5e218334123264055a4ed667,want,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed668,save,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed669,reimbursement,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed66a,add,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed66b,save,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed66c,button,false,"a care professional I want to save a reimbursement add save button on top right "
5e218334123264055a4ed66d,right,false,"a care professional I want to save a reimbursement add save button on top right "
5e21835a7a2125188d04943b,able,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d04943c,edit,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d04943d,content,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d04943e,added,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d04943f,person,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d049440,s,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d049441,profile,true,"I am able to edit the content that I added to a person 's profile page "
5e21835a7a2125188d049442,page,true,"I am able to edit the content that I added to a person 's profile page "
5e21838aca66357ebe98f321,able,false,"I am able to edit any landmark "
5e21838aca66357ebe98f322,edit,false,"I am able to edit any landmark "
5e21838aca66357ebe98f323,landmark,false,"I am able to edit any landmark "
5e2183adf91b1c13ce5797b1,able,false,"I am able to delete only the landmarks that I added "
5e2183adf91b1c13ce5797b2,delete,false,"I am able to delete only the landmarks that I added "
5e2183adf91b1c13ce5797b3,landmark,false,"I am able to delete only the landmarks that I added "
5e2183adf91b1c13ce5797b4,added,false,"I am able to delete only the landmarks that I added "
5e2183e524a75d6404139840,prepare,true,"I can prepare myself "
5e21842666d86b7d6b26a104,able,false,"I stay up to date "
5e21842666d86b7d6b26a105,list,false,"I stay up to date "
5e21842666d86b7d6b26a106,news,false,"I stay up to date "
5e21842666d86b7d6b26a107,item,false,"I stay up to date "
5e2184476d7d6061ac347399,receive,false,"I receive an email notification when a new user is registered "
